City,Country,Latitude,Longitude,Date,Clouds,Humidity,Temperature,Wind
torbay,CA,47.67,-52.73,1595525380,75,47,298.71,8.2
saint-pierre,RE,-21.34,55.48,1595525284,75,59,292.15,4.1
yarmouth,US,41.71,-70.23,1595525223,1,66,303.71,6.7
vardo,NO,70.37,31.11,1595525381,75,87,286.15,6.7
punta arenas,CL,-53.15,-70.92,1595525113,20,76,277.15,7.2
barrow,US,71.29,-156.79,1595525381,90,93,281.15,8.2
sao jose da coroa grande,BR,-8.9,-35.15,1595525382,62,70,299.25,5.44
colorado,BR,-22.84,-51.97,1595525382,0,39,301.48,4.29
nome,US,64.5,-165.41,1595525382,90,87,280.37,3.11
harper,LR,4.38,-7.72,1595525382,65,79,298.63,4.96
lexington,US,37.99,-84.48,1595525160,90,94,298.15,2.6
severomuysk,RU,56.15,113.43,1595525383,100,97,282.53,1.71
broome,US,42.25,-75.83,1595525383,75,69,300.37,3.6
hermanus,ZA,-34.42,19.23,1595525383,0,88,286.48,0.89
padang,ID,-0.95,100.35,1595525274,100,78,298.95,1.85
san rafael,AR,-34.62,-68.33,1595525252,23,60,278.6,1.59
havelock,US,34.88,-76.9,1595525384,26,74,305.37,3.13
ambulu,ID,-8.35,113.61,1595525384,65,85,295.46,2.73
tezu,IN,27.92,96.17,1595525384,100,87,297.64,0.81
hay river,CA,60.82,-115.8,1595525385,75,87,288.15,5.7
gamba,GA,-2.65,10.0,1595525385,94,74,296.75,3.92
ambon,ID,-3.7,128.18,1595525385,25,15,298.71,0.45
alice springs,AU,-23.7,133.88,1595525091,0,64,277.15,2.1
port-cartier,CA,50.03,-66.87,1595525386,40,72,293.71,4.1
cozumel,MX,20.51,-86.95,1595525386,75,63,306.15,3.6
esperance,AU,-33.87,121.9,1595525386,40,81,281.15,3.6
moen,NO,69.13,18.61,1595525386,75,87,283.15,6.7
dinghai,CN,26.28,119.79,1595525387,98,83,301.15,2.0
fortuna,US,40.6,-124.16,1595525250,90,100,288.15,3.6
nikolskoye,RU,59.7,30.79,1595525290,40,62,288.15,4.0
sibolga,ID,1.74,98.78,1595525387,87,79,297.61,1.38
marsh harbour,BS,26.54,-77.06,1595525387,100,73,302.3,8.15
chicama,PE,-7.84,-79.15,1595525388,26,55,295.63,4.79
bluff,NZ,-46.6,168.33,1595525268,87,83,277.04,1.34
ilulissat,GL,69.22,-51.1,1595525388,75,50,285.15,1.5
vaini,TO,-21.2,-175.2,1595525388,75,100,293.15,2.6
strezhevoy,RU,60.73,77.59,1595525388,90,67,288.15,2.0
teguise,ES,29.06,-13.56,1595525389,20,61,300.15,11.3
yellowknife,CA,62.46,-114.35,1595525389,75,87,289.26,4.6
chifeng,CN,42.27,118.96,1595525389,2,52,295.83,1.15
fayaoue,NC,-20.65,166.53,1595525389,100,82,295.14,9.23
provideniya,RU,64.38,-173.3,1595525390,44,66,283.12,3.34
makakilo city,US,21.35,-158.09,1595525341,1,78,297.15,1.5
trairi,BR,-3.28,-39.27,1595525390,33,55,302.74,7.2
bilma,NE,18.69,12.92,1595525390,39,8,312.9,4.16
hazorasp,UZ,41.32,61.07,1595525390,88,61,299.15,3.1
san cristobal,VE,7.77,-72.22,1595525391,40,38,307.15,10.3
dudinka,RU,69.41,86.18,1595525391,47,75,281.15,12.0
rawson,AR,-43.3,-65.1,1595525303,100,80,277.32,5.62
lac du bonnet,CA,50.25,-96.06,1595525391,1,99,297.04,4.92
lavrentiya,RU,65.58,-171.0,1595525391,100,57,285.01,4.56
qasigiannguit,GL,68.82,-51.19,1595525392,75,50,285.15,1.5
vitim,RU,59.45,112.56,1595525392,76,91,287.8,1.83
vao,NC,-22.67,167.48,1595525392,4,76,293.73,7.74
jamestown,US,42.1,-79.24,1595525191,75,78,298.15,6.2
naze,JP,28.37,129.48,1595525392,40,88,301.15,3.1
tongren,CN,27.72,109.19,1595525393,39,83,298.21,1.22
thompson,CA,55.74,-97.86,1595525281,75,78,295.15,2.6
schwabmunchen,DE,48.18,10.75,1595525393,75,68,295.37,3.6
ipixuna,BR,-1.76,-48.8,1595525393,40,52,305.15,5.1
alofi,NU,-19.06,-169.92,1595525304,73,100,296.15,3.6
ahuimanu,US,21.44,-157.84,1595525393,40,78,299.26,5.1
cabo san lucas,MX,22.89,-109.91,1595525394,5,69,304.26,6.7
aykhal,RU,66.0,111.5,1595525394,90,81,284.15,2.0
yar-sale,RU,66.83,70.83,1595525394,40,70,283.7,2.93
gbadolite,CD,4.28,21.02,1595525394,83,91,296.04,1.07
bambous virieux,MU,-20.34,57.76,1595525394,75,56,294.15,8.2
camalu,MX,30.85,-116.07,1595525395,36,56,292.59,0.45
hearst,CA,49.68,-83.67,1595525395,0,27,300.74,2.25
banda,IN,25.48,80.33,1595525395,13,39,308.11,1.6
bulata,PH,9.86,122.4,1595525395,100,77,301.0,1.35
shellbrook,CA,53.22,-106.4,1595525396,90,88,295.15,3.6
los llanos de aridane,ES,28.66,-17.92,1595525396,20,69,297.15,7.7
washougal,US,45.58,-122.35,1595525396,90,72,290.37,3.1
aklavik,CA,68.22,-135.01,1595525321,40,58,286.15,5.1
longyearbyen,SJ,78.22,15.64,1595525293,90,81,282.15,4.1
tiksi,RU,71.69,128.87,1595525396,87,81,287.73,3.53
avarua,CK,-21.21,-159.78,1595525397,2,100,296.15,2.1
jumla,NP,29.27,82.18,1595525397,22,70,288.47,0.86
weligama,LK,5.97,80.42,1595525397,98,86,299.17,2.19
mizdah,LY,31.45,12.98,1595525397,0,18,305.5,6.42
bonavista,CA,48.65,-53.11,1595525398,18,63,291.51,2.33
ribeira brava,PT,32.65,-17.07,1595525398,20,64,297.15,6.2
ponta delgada,PT,37.73,-25.67,1595525398,40,60,295.15,2.6
pereslavl-zalesskiy,RU,56.74,38.86,1595525398,23,85,286.56,2.7
morondava,MG,-20.28,44.28,1595525398,0,54,296.46,4.55
grindavik,IS,63.84,-22.43,1595525279,20,54,286.15,9.3
dikson,RU,73.51,80.55,1595525399,21,87,278.57,3.52
mazagao,BR,-0.12,-51.29,1595525399,75,63,306.15,3.6
bethel,US,41.37,-73.41,1595525181,1,69,302.04,5.1
airai,TL,-8.93,125.41,1595525299,85,71,284.79,1.14
mantua,IT,45.17,10.78,1595525395,7,62,303.71,0.45
agadir,MA,30.42,-9.6,1595525400,1,61,300.15,6.2
labytnangi,RU,66.66,66.42,1595525400,36,66,286.08,2.76
saskylakh,RU,71.92,114.08,1595525400,96,94,282.91,3.5
upernavik,GL,72.79,-56.15,1595525401,82,74,281.11,5.12
kurumkan,RU,54.3,110.3,1595525401,100,83,288.71,1.24
tayoltita,MX,24.08,-105.93,1595525401,72,50,302.45,2.31
great bend,US,38.36,-98.76,1595525401,1,74,305.37,6.2
dekar,BW,-21.53,21.93,1595525402,0,42,284.64,2.61
abong mbang,CM,3.98,13.18,1595525403,87,96,294.19,1.05
umm kaddadah,SD,13.6,26.69,1595525403,88,26,307.82,4.5
sawakin,SD,19.11,37.33,1595525403,0,53,306.28,5.38
manicore,BR,-5.81,-61.3,1595525403,73,70,303.15,1.0
elliot,ZA,-31.33,27.85,1595525404,0,40,282.37,1.41
cravo norte,CO,6.3,-70.2,1595525404,74,73,302.24,3.69
sola,VU,-13.88,167.55,1595525299,85,84,299.86,10.11
victoria,HK,22.29,114.16,1595525320,12,74,303.15,3.38
quelimane,MZ,-17.88,36.89,1595525404,59,86,291.74,2.54
vega de alatorre,MX,20.03,-96.63,1595525405,4,57,304.8,4.01
talcahuano,CL,-36.72,-73.12,1595525405,63,54,285.15,3.6
mount gambier,AU,-37.83,140.77,1595525390,71,80,277.15,4.6
salalah,OM,17.02,54.09,1595525405,40,88,300.15,3.1
hervey bay,AU,-25.3,152.85,1595525193,94,94,288.15,1.34
talnakh,RU,69.49,88.4,1595525406,87,75,281.15,12.0
nybro,SE,56.74,15.91,1595525406,65,52,292.59,4.1
nanortalik,GL,60.14,-45.24,1595525280,100,91,281.73,2.45
mahebourg,MU,-20.41,57.7,1595525406,75,56,294.15,8.2
ancud,CL,-41.87,-73.82,1595525406,0,65,280.15,3.6
panguna,PG,-6.32,155.48,1595525407,69,95,293.0,0.9
libenge,CD,3.65,18.63,1595525407,93,83,297.11,2.06
palmer,US,42.16,-72.33,1595525407,75,70,302.15,6.2
volksrust,ZA,-27.37,29.88,1595525407,0,55,278.82,1.54
komsomolskiy,UZ,40.43,71.72,1595525407,8,30,302.15,4.1
sembakung,ID,3.82,117.25,1595525408,83,98,295.91,0.78
buxton,GB,53.26,-1.91,1595525172,100,92,289.26,0.89
faya,SA,18.39,42.45,1595525408,20,83,296.15,2.6
ostrovnoy,RU,68.05,39.51,1595525408,38,76,291.89,4.5
henties bay,NA,-22.12,14.28,1595525408,0,64,293.15,1.34
san policarpo,PH,12.18,125.51,1595525408,88,76,301.54,2.07
orotukan,RU,62.27,151.7,1595525409,92,54,289.46,2.72
port hardy,CA,50.7,-127.42,1595525409,75,82,288.15,4.1
bantou,CN,26.22,117.49,1595525409,98,74,299.53,0.85
angoche,MZ,-16.23,39.91,1595525278,2,71,294.64,3.46
konevo,RU,62.12,39.32,1595525410,100,96,286.81,2.01
vila franca do campo,PT,37.72,-25.43,1595525410,40,60,295.15,2.6
akyab,MM,20.15,92.9,1595525410,100,83,300.62,3.9
new norfolk,AU,-42.78,147.06,1595525267,99,87,278.15,1.17
cabrobo,BR,-8.51,-39.31,1595525236,91,36,303.03,7.42
blama,SL,7.87,-11.34,1595525411,100,94,296.92,2.61
taoudenni,ML,22.68,-3.98,1595525315,18,9,319.56,3.99
dergachi,RU,51.23,48.77,1595525411,19,58,293.62,5.45
bairiki,KI,1.33,172.98,1595525411,40,78,301.15,5.1
pimenteiras,BR,-6.25,-41.42,1595525411,95,26,307.56,2.8
fort dix,US,40.03,-74.62,1595525238,75,74,304.26,3.1
magole,TZ,-6.37,37.37,1595525412,52,77,294.15,0.29
castro,BR,-24.79,-50.01,1595525412,20,46,296.41,2.88
calvinia,ZA,-31.47,19.78,1595525412,0,32,287.42,2.84
alexandria,EG,31.22,29.96,1595525322,40,69,301.15,6.2
haines junction,CA,60.75,-137.51,1595525413,100,78,285.11,1.41
vilhena,BR,-12.74,-60.15,1595525406,49,40,303.15,6.2
koping,SE,59.51,15.99,1595525413,67,37,293.71,4.1
babu,CN,24.42,111.52,1595525327,96,69,300.13,0.68
orangeburg,US,33.49,-80.86,1595525263,1,46,308.15,3.1
abay,KZ,49.63,72.85,1595525414,84,87,288.15,2.0
lakatoro,VU,-16.1,167.42,1595525414,79,82,296.77,3.86
khandyga,RU,62.67,135.6,1595525414,6,77,286.49,0.5
nanakuli,US,21.39,-158.15,1595525414,1,78,297.04,1.5
kyabe,TD,9.45,18.94,1595525414,100,90,295.68,1.35
sunrise manor,US,36.21,-115.07,1595525415,1,17,308.15,2.1
trincomalee,LK,8.57,81.23,1595525415,100,77,301.16,2.91
xai-xai,MZ,-25.05,33.64,1595525415,61,75,291.94,4.21
pevek,RU,69.7,170.31,1595525193,0,73,282.12,2.26
labuhan,ID,-6.88,112.21,1595525416,92,83,297.99,3.11
hithadhoo,MV,-0.6,73.08,1595525416,100,69,301.73,1.89
nouakchott,MR,18.09,-15.98,1595525416,90,70,302.15,6.7
faanui,PF,-16.48,-151.75,1595525288,6,78,298.57,7.38
suntar,RU,62.14,117.63,1595525416,32,85,287.33,0.89
caravelas,BR,-17.71,-39.25,1595525417,29,66,297.58,3.33
beisfjord,NO,68.38,17.6,1595525417,75,93,283.15,7.2
atbasar,KZ,51.8,68.33,1595525417,33,93,289.58,3.58
jinka,ET,5.65,36.65,1595525417,41,88,289.77,0.82
kilindoni,TZ,-7.91,39.67,1595525418,4,68,297.76,8.16
ayagoz,KZ,47.97,80.44,1595525418,0,38,291.79,3.12
atambua,ID,-9.11,124.89,1595525418,91,85,291.63,2.78
tocopilla,CL,-22.09,-70.2,1595525418,3,47,291.12,3.63
egvekinot,RU,66.32,-179.17,1595525418,63,63,286.29,1.79
chute-aux-outardes,CA,49.12,-68.4,1595525419,75,53,296.15,3.6
hinton,CA,53.4,-117.59,1595525419,100,79,286.02,2.24
currais novos,BR,-6.26,-36.52,1595525373,76,38,304.57,7.18
souillac,MU,-20.52,57.52,1595525308,75,56,294.15,8.2
dingle,PH,11.0,122.67,1595525419,90,85,298.18,1.46
parian dakula,PH,5.56,120.77,1595525419,100,73,301.92,3.73
mar del plata,AR,-38.0,-57.56,1595525420,90,100,286.48,3.1
san quintin,MX,30.48,-115.95,1595525420,47,63,293.97,5.63
mecca,SA,21.43,39.83,1595525387,7,62,303.69,3.57
mangrol,IN,21.12,70.12,1595525420,99,82,302.02,5.45
magistralnyy,RU,56.17,107.45,1595525420,33,73,286.07,1.07
pasighat,IN,28.07,95.33,1595525421,100,87,297.99,1.03
kavaratti,IN,10.57,72.64,1595525421,100,77,301.19,2.23
sao filipe,CV,14.9,-24.5,1595525421,74,85,299.17,2.59
miyako,JP,39.64,141.95,1595525421,97,91,292.04,1.54
arman,RU,59.7,150.17,1595525292,93,77,285.67,1.58
kaitangata,NZ,-46.28,169.85,1595525281,55,79,276.48,4.02
lagoa,PT,39.05,-27.98,1595525422,0,69,294.18,1.22
alto araguaia,BR,-17.31,-53.22,1595525422,0,21,303.54,2.2
norman wells,CA,65.28,-126.83,1595525422,75,82,287.15,2.1
jalu,LY,29.03,21.55,1595525422,0,31,303.59,9.54
savannah bight,HN,16.45,-85.85,1595525423,95,72,302.1,4.68
kaka,TM,37.35,59.61,1595525423,0,35,304.72,6.17
kondinskoye,RU,59.65,67.41,1595525423,0,69,287.02,3.13
mount isa,AU,-20.73,139.5,1595525423,0,58,285.15,5.17
katsuura,JP,35.13,140.3,1595525302,100,92,295.93,0.47
baltiysk,RU,54.65,19.91,1595525423,20,67,290.15,5.0
zyryanka,RU,65.75,150.85,1595525424,92,60,292.43,1.25
lasa,IT,46.62,10.7,1595525424,40,49,293.15,3.1
ust-nera,RU,64.57,143.2,1595525424,95,66,292.12,0.73
ternate,ID,0.8,127.4,1595525424,51,80,299.53,1.8
mildura,AU,-34.2,142.15,1595525425,11,86,277.04,3.1
shepetivka,UA,50.19,27.06,1595525425,86,84,287.63,1.69
sao joao da barra,BR,-21.64,-41.05,1595525425,20,45,301.15,6.2
tutoia,BR,-2.76,-42.27,1595525426,1,55,301.42,4.14
luderitz,NA,-26.65,15.16,1595525426,0,29,297.15,1.0
chebsara,RU,59.2,38.84,1595525426,40,67,289.15,3.0
kontagora,NG,10.4,5.47,1595525426,86,87,297.99,0.98
tampa,US,27.95,-82.46,1595525134,90,94,300.37,4.6
sinnai,IT,39.3,9.2,1595525427,5,38,308.15,4.1
kysyl-syr,RU,63.9,122.76,1595525313,76,73,290.7,2.64
lompoc,US,34.64,-120.46,1595525426,65,77,290.15,1.5
pundaguitan,PH,6.37,126.17,1595525427,88,74,301.43,2.86
livani,LV,56.35,26.18,1595525427,59,87,285.2,2.25
goure,NE,13.98,10.27,1595525427,50,45,304.67,5.21
dong xoai,VN,11.53,106.92,1595525428,100,94,295.62,1.2
batticaloa,LK,7.71,81.69,1595525428,100,82,299.87,5.94
mogadishu,SO,2.04,45.34,1595525428,45,74,298.03,9.63
mareeba,AU,-17.0,145.43,1595525428,75,82,292.15,4.1
ribeira grande,PT,38.52,-28.7,1595525429,20,69,296.15,3.1
prainha,BR,-1.8,-53.48,1595525429,6,46,306.17,2.22
sayyan,YE,15.17,44.32,1595525429,78,62,291.93,1.36
sharan,RU,54.82,54.0,1595525429,100,97,288.72,1.57
mizan teferi,ET,6.98,35.58,1595525430,86,90,288.68,0.98
north myrtle beach,US,33.82,-78.68,1595525430,1,66,307.04,4.6
isangel,VU,-19.55,169.27,1595525430,86,84,295.68,6.23
price,US,39.6,-110.81,1595525339,1,53,295.15,3.1
placido de castro,BR,-10.34,-67.19,1595525430,0,27,308.75,1.46
paranaiba,BR,-19.68,-51.19,1595525431,0,27,303.93,2.36
kailua,US,21.4,-157.74,1595525431,40,78,299.26,5.1
marrakesh,MA,31.63,-8.01,1595525431,20,17,313.15,3.6
northam,GB,51.03,-4.22,1595525146,100,95,290.37,4.02
kahului,US,20.89,-156.47,1595525431,20,69,297.59,4.51
tadine,NC,-21.55,167.88,1595525432,88,80,293.87,6.41
thunder bay,CA,48.4,-89.32,1595525152,20,50,298.15,2.6
samarai,PG,-10.62,150.67,1595525309,41,83,298.43,5.11
harbour breton,CA,47.48,-55.8,1595525432,100,78,289.75,4.29
vikulovo,RU,56.82,70.61,1595525432,0,79,284.78,3.0
goderich,CA,43.75,-81.72,1595525306,21,77,299.82,5.68
tonantins,BR,-2.87,-67.8,1595525433,87,82,300.71,0.71
nishihara,JP,26.18,127.76,1595525433,20,88,301.15,4.6
thinadhoo,MV,0.53,72.93,1595525433,100,72,301.72,3.26
batan,CR,10.08,-83.34,1595525433,75,74,302.15,4.1
kalianget,ID,-7.05,113.93,1595525433,61,74,299.41,5.13
show low,US,34.25,-110.03,1595525434,1,53,296.15,5.7
awbari,LY,26.59,12.78,1595525434,0,19,302.71,2.3
kasongo-lunda,CD,-6.47,16.82,1595525434,0,23,299.8,1.36
yulara,AU,-25.24,130.99,1595525434,0,60,279.15,1.5
beberibe,BR,-4.18,-38.13,1595525434,75,55,303.15,7.2
maarianhamina,AX,60.1,19.93,1595525435,72,58,288.15,2.6
lesosibirsk,RU,58.24,92.48,1595525435,1,84,281.56,1.85
san juan,AR,-31.54,-68.54,1595525435,96,58,279.58,3.82
port blair,IN,11.67,92.75,1595525435,76,74,301.2,2.31
tungor,RU,53.38,142.96,1595525436,7,97,278.53,0.2
kyshtovka,RU,56.55,76.63,1595525436,25,81,283.87,1.2
methoni,GR,36.82,21.7,1595525436,20,42,305.37,1.5
tuatapere,NZ,-46.13,167.68,1595525436,91,83,277.04,1.34
safranbolu,TR,41.25,32.69,1595525436,27,58,293.5,1.65
yagodnoye,RU,62.55,149.67,1595525436,98,64,287.8,0.65
hasaki,JP,35.73,140.83,1595525437,75,100,295.15,1.52
saldanha,ZA,-33.01,17.94,1595525437,0,44,297.15,1.0
geraldton,AU,-28.77,114.6,1595525437,0,93,280.15,2.1
deputatskiy,RU,69.3,139.9,1595525437,82,57,292.42,0.82
port shepstone,ZA,-30.74,30.45,1595525438,0,78,290.36,5.91
chokurdakh,RU,70.63,147.92,1595525438,46,69,291.18,2.66
hualmay,PE,-11.1,-77.61,1595525438,56,69,292.68,4.71
campo grande,BR,-20.44,-54.65,1595525438,0,25,304.15,4.6
bara,NG,10.37,10.73,1595525438,95,74,299.89,4.19
laukaa,RU,58.74,29.85,1595525438,71,87,285.43,2.29
katherine,AU,-14.47,132.27,1595525439,0,48,289.15,2.1
khash,IR,28.22,61.22,1595525439,0,19,297.52,1.53
the valley,AI,18.22,-63.06,1595525436,40,70,302.15,6.7
byadgi,IN,14.68,75.48,1595525439,100,91,296.18,1.63
kudahuvadhoo,MV,2.67,72.89,1595525439,100,77,301.28,4.25
santa rosa,PH,14.31,121.11,1595525439,85,74,304.26,5.7
general roca,AR,-39.03,-67.58,1595525440,75,75,278.15,2.1
ahipara,NZ,-35.17,173.17,1595525440,69,75,286.16,5.16
kabalo,CD,-6.05,26.92,1595525440,6,30,299.8,1.62
matara,LK,5.95,80.54,1595525440,98,86,299.02,2.77
virginia beach,US,36.85,-75.98,1595525397,75,52,308.15,4.6
waw,SS,7.7,28.0,1595525441,91,92,295.37,1.91
astana,KZ,51.18,71.45,1595525441,75,77,292.15,5.0
rio gallegos,AR,-51.62,-69.22,1595525441,87,74,274.15,5.7
habiganj,BD,24.38,91.42,1595525441,100,95,298.7,2.95
chon buri,TH,13.36,100.98,1595525442,87,70,304.82,3.27
beloha,MG,-25.17,45.05,1595525442,14,68,289.17,6.2
strelka,RU,58.07,93.03,1595525442,11,78,281.98,1.74
fort morgan,US,40.25,-103.8,1595525442,1,18,306.15,3.1
skala,PL,50.23,19.85,1595525443,77,43,295.15,1.5
mahibadhoo,MV,3.78,72.97,1595525443,100,75,301.66,5.94
sangar,RU,63.92,127.47,1595525277,0,66,290.14,3.96
sergiyev posad,RU,56.3,38.13,1595525443,9,51,289.15,5.0
kosovska mitrovica,XK,42.88,20.87,1595525443,75,64,295.15,6.2
nouadhibou,MR,20.93,-17.03,1595525275,0,78,296.15,10.3
narsaq,GL,60.92,-46.05,1595525444,75,75,291.15,8.7
flinders,AU,-34.58,150.86,1595525444,87,86,283.71,0.89
san patricio,MX,19.22,-104.7,1595525444,75,75,305.15,4.1
vila,PT,42.03,-8.16,1595525445,0,54,303.71,4.6
pau brasil,BR,-15.46,-39.65,1595525445,47,70,297.91,2.15
mountain home,US,43.13,-115.69,1595525400,1,36,300.15,2.1
clyde river,CA,70.47,-68.59,1595525445,75,61,283.15,3.1
malartic,CA,48.13,-78.13,1595525445,75,56,297.04,2.6
port elizabeth,ZA,-33.92,25.57,1595525285,0,87,287.15,1.5
half moon bay,US,37.46,-122.43,1595525249,40,72,292.15,1.5
namibe,AO,-15.2,12.15,1595525277,0,62,295.44,2.47
khor,RU,47.89,134.95,1595525446,92,96,290.11,4.14
pudozh,RU,61.81,36.53,1595525446,91,77,288.2,1.43
calbuco,CL,-41.77,-73.13,1595525447,0,63,282.15,2.1
tignere,CM,7.37,12.65,1595525447,99,98,292.27,0.94
boromo,BF,11.75,-2.93,1595525447,66,65,302.34,3.75
solnechnyy,RU,50.72,136.63,1595525447,79,92,287.18,2.43
khandbari,NP,27.37,87.2,1595525447,99,76,296.6,1.01
aksarka,RU,66.56,67.8,1595525337,51,67,284.98,3.08
kruisfontein,ZA,-34.0,24.73,1595525309,0,72,286.7,1.2
sochi,RU,43.6,39.73,1595525448,0,61,299.15,4.0
algeciras,ES,36.13,-5.45,1595525448,5,78,300.15,3.6
matamoros,MX,25.53,-103.25,1595525448,75,57,300.93,1.52
road town,VG,18.42,-64.62,1595525449,40,62,305.15,6.2
olinda,BR,-8.01,-34.86,1595525200,40,62,302.15,6.7
thohoyandou,ZA,-22.95,30.48,1595525449,28,72,283.5,1.22
tashtagol,RU,52.77,87.89,1595525449,3,90,285.53,1.32
erdenet,MN,49.03,104.08,1595525450,100,92,285.63,1.45
sakakah,SA,29.97,40.21,1595525387,20,8,313.15,3.1
lagoa santa,BR,-19.63,-43.89,1595525450,20,38,298.15,2.1
logan lake,CA,50.5,-120.8,1595525450,75,64,293.15,3.6
roma,US,43.21,-75.46,1595525309,75,78,299.15,2.1
shiyan,CN,32.65,110.78,1595525451,100,87,294.82,4.92
minsk,BY,53.9,27.57,1595525451,75,67,287.15,7.0
el carmen,CO,8.51,-73.45,1595525451,99,58,301.65,1.2
amga,RU,60.9,131.96,1595525451,0,89,286.41,1.08
ballaghaderreen,IE,53.9,-8.58,1595525451,99,65,289.82,3.13
atasu,KZ,48.68,71.64,1595525452,85,44,297.27,3.32
tual,ID,-5.67,132.75,1595525452,24,81,299.28,8.3
suez,EG,29.97,32.53,1595525452,0,56,302.23,8.06
